,block,cluster_labels
506,831,0.0
507,832,2.0
508,849,2.0
509,850,2.0
510,851,2.0
511,852,2.0
512,853,2.0
513,854,0.0
514,855,2.0
515,856,2.0
516,857,0.0
517,858,2.0
518,864,2.0
519,865,2.0
520,866,0.0
521,867,0.0
522,868,0.0
523,869,0.0
524,870,0.0
525,871,0.0
526,872,0.0
527,873,0.0
528,874,0.0
529,875,0.0
530,876,0.0
531,877,0.0
532,878,0.0
533,879,0.0
534,880,0.0
535,881,0.0
536,882,2.0
537,901,0.0
538,902,0.0
539,903,2.0
540,904,2.0
541,905,0.0
542,906,2.0
543,907,2.0
544,908,2.0
545,909,0.0
546,910,0.0
547,911,2.0
548,917,2.0
549,918,0.0
550,919,0.0
551,920,0.0
552,921,0.0
553,922,2.0
554,923,0.0
555,924,2.0
556,925,0.0
557,926,0.0
558,927,0.0
559,928,0.0
560,929,0.0
561,930,0.0
562,931,0.0
563,932,0.0
564,933,0.0
565,934,0.0
566,935,2.0
567,936,0.0
568,937,0.0
569,938,0.0
570,939,2.0
571,955,2.0
572,956,0.0
573,957,2.0
574,958,0.0
575,959,0.0
576,960,0.0
577,961,2.0
578,962,0.0
579,963,0.0
580,964,0.0
581,965,2.0
582,966,2.0
583,971,2.0
584,972,0.0
585,973,0.0
586,974,2.0
587,975,0.0
588,976,2.0
589,977,2.0
590,978,0.0
591,979,0.0
592,980,0.0
593,981,0.0
594,982,0.0
595,983,0.0
596,984,0.0
597,985,0.0
598,986,0.0
599,987,0.0
600,988,0.0
601,989,0.0
602,990,0.0
603,991,0.0
604,992,0.0
605,993,2.0
606,994,2.0
607,997,2.0
608,998,2.0
609,999,2.0
610,1000,2.0
611,1001,2.0
612,1002,0.0
613,1003,2.0
614,1010,0.0
615,1011,0.0
616,1012,2.0
617,1013,2.0
618,1014,0.0
619,1015,2.0
620,1016,2.0
621,1017,2.0
622,1018,0.0
623,1019,0.0
624,1020,2.0
625,1021,2.0
626,1022,2.0
627,1025,2.0
628,1026,2.0
629,1027,2.0
630,1028,2.0
631,1029,2.0
632,1030,2.0
633,1031,2.0
634,1032,2.0
635,1033,2.0
636,1034,2.0
637,1035,0.0
638,1036,2.0
639,1037,0.0
640,1038,0.0
641,1039,0.0
642,1040,0.0
643,1041,0.0
644,1042,0.0
